id,platform,title,description,image_url,student_submission,correct_answer,created_at
83,PYRATES,[PYRATES][Level1][#010],"Ramasser la clé en enchainant séquentiellement les instructions de déplacements élémentaires.

Parcourir la ligne droite de 16 blocs à l’aide d’une boucle bornée (for) jusqu’au coffre.

Ouvrir le coffre.",/error-annotation/uploads/9d16f56d4b70436580607472df57cf30.png,"# Ecrire le code de son programme ci-dessous
avancer()
gauche()
droite()
avancer()
avancer()
avancer()
for _ in range(4):
	sauter()
	coup()","avancer()
droite()
avancer()
gauche()
avancer()
droite()
for i in range(16):
    avancer()
ouvrir()",2026-05-12 23:27:06.348004
84,PYRATES,[PYRATES][Level1][#011],"Programme

Sauter par-dessus chacun des 6 tonneaux à l’aide d’une boucle bornée (for).

Descendre sur la plateforme inférieure.

Détruire les 9 pots à l’aide d’une boucle bornée (for).

Approcher puis ouvrir le coffre.",/error-annotation/uploads/8e496ebb843e48baa3a3e5aa3b79c893.png,"sauter()
for i in range(5):
	avancer()
	sauter()
avancer()
avancer()
gauche()
for i in range(13):
	avancer()
	avancer()
	if avancer():
		coup()","for _ in range(6):
    sauter()
    avancer()
avancer()
gauche()
avancer()
avancer()
for _ in range(9):
    coup()
    avancer()
avancer()
ouvrir()",2026-05-13 08:01:40.494841
85,PYRATES,[PYRATES][Level2][#012],"Objectif : Ramasser la clé puis ouvrir le coffre.
Fonctions de contrôle : avancer(), droite(), gauche(), sauter(), coup(), ouvrir()
Contraintes : Le programme ne doit pas dépasser 14 lignes.",/error-annotation/uploads/ed20eff508b74d9da9a839486a0c2772.png,"sauter()
for i in range(5):
	avancer()
	sauter()
avancer()
avancer()
gauche()
for i in range(13):
	avancer()
	avancer()
	if avancer():
		coup()","for _ in range(6):
    sauter()
    avancer()
avancer()
gauche()
avancer()
avancer()
for _ in range(9):
    coup()
    avancer()
avancer()
ouvrir()",2026-05-20 06:22:44.521364
86,PYRATES,[PYRATES][Level2][#013],"Objectif : Ramasser la clé puis ouvrir le coffre.
Fonctions de contrôle : avancer(), droite(), gauche(), sauter(), coup(), ouvrir()
Contraintes : Le programme ne doit pas dépasser 14 lignes.",/error-annotation/uploads/db5fa76296c749419d65de219f20055a.png,"for i in range(5):
	coup()
	avancer()
	avancer()
sauter()
avancer()
avancer()
gauche()
for i in range(2):
	avancer()
	coup()","for _ in range(6):
    sauter()
    avancer()
avancer()
gauche()
avancer()
avancer()
for _ in range(9):
    coup()
    avancer()
avancer()
ouvrir()",2026-05-20 06:26:32.415395
82,PYRATES,[PYRATES][Level1][#009],"Ramasser la clé en enchainant séquentiellement les instructions de déplacements élémentaires.

Parcourir la ligne droite de 16 blocs à l’aide d’une boucle bornée (for) jusqu’au coffre.

Ouvrir le coffre.",/error-annotation/uploads/f70a2f20451a4c17afd41d8942982244.png,"avancer(1)
gauche (1)
avancer (6)
droite (1)
avancer (7)
droite (1)
for _ in range(17):
	avancer(17)","avancer()
droite()
avancer()
gauche()
avancer()
droite()
for i in range(16):
    avancer()
ouvrir()",2026-05-12 23:24:41.92956
87,PYRATES,[PYRATES][Level2][#014],"Objectif : Ramasser la clé puis ouvrir le coffre.
Fonctions de contrôle : avancer(), droite(), gauche(), sauter(), coup(), ouvrir()
Contraintes : Le programme ne doit pas dépasser 14 lignes.",/error-annotation/uploads/9a0361cc496845f88d631f4553fa7d9f.png,"for compteur in range(3,7):
	sauter_hauteur(compteur)
	avancer()
while sauter():
	avancer()","for _ in range(6):
    sauter()
    avancer()
avancer()
gauche()
avancer()
avancer()
for _ in range(9):
    coup()
    avancer()
avancer()
ouvrir()",2026-05-20 06:48:49.858708
88,PYRATES,[PYRATES][Level2][#015],"Objectif : Ramasser la clé puis ouvrir le coffre.
Fonctions de contrôle : avancer(), droite(), gauche(), sauter(), coup(), ouvrir()
Contraintes : Le programme ne doit pas dépasser 14 lignes.",/error-annotation/uploads/b3693dcca4cd4b3a909ff6274f79ecde.png,"for compteur in range(6):
	sauter()
	avancer()
	
	gauche()
for compteur in range(3):
	tirer(compteur)
	avancer(12)
	avancer()
	casser()
	ouvrir()","for _ in range(6):
    sauter()
    avancer()
avancer()
gauche()
avancer()
avancer()
for _ in range(9):
    coup()
    avancer()
avancer()
ouvrir()",2026-05-20 07:39:20.407497
74,PYRATES,[PYRATES][Level1][#001],"Ramasser la clé en enchainant séquentiellement les instructions de déplacements élémentaires.

Parcourir la ligne droite de 16 blocs à l’aide d’une boucle bornée (for) jusqu’au coffre.

Ouvrir le coffre.",/error-annotation/uploads/11a9f1366b554f949a16af3038fb11e9.png,"avancer()
gauche()
droite()
avancer()
avancer()
avancer()
for i in range(4):
    sauter()
    coup()","avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
    avancer()
ouvrir()",2026-05-12 12:47:47.814947
75,PYRATES,[PYRATES][Level1][#002],"Ramasser la clé en enchainant séquentiellement les instructions de déplacements élémentaires.

Parcourir la ligne droite de 16 blocs à l’aide d’une boucle bornée (for) jusqu’au coffre.

Ouvrir le coffre.",/error-annotation/uploads/cc5ecfb5368b4ce39492704b097271ab.png,"avancer()
droite()
avancer()
gauche()
h = 0
while h < 17:
	droite()
	avancer()
	h = h + 1
ouvrir()","avancer()
droite()
avancer()
gauche()
avancer()
droite()
for i in range(16):
    avancer()
ouvrir()",2026-05-12 22:26:52.435304
76,PYRATES,[PYRATES][Level1][#003],"Ramasser la clé en enchainant séquentiellement les instructions de déplacements élémentaires.

Parcourir la ligne droite de 16 blocs à l’aide d’une boucle bornée (for) jusqu’au coffre.

Ouvrir le coffre.",/error-annotation/uploads/eb4f6fae052a42eb9cc00eaf10317fa8.png,"avancer()
droite()
avancer()
gauche()
avancer()
droite()
if ouvrir():
	ouvrir()
else: 
	avancer()","avancer()
droite()
avancer()
gauche()
avancer()
droite()
for _ in range(16):
    avancer()
ouvrir()",2026-05-12 22:41:35.296337
